,cardId,Name,cardSubtitle,cardFilter4Tri,cardFilter4Display,Image,Unnamed: 6,Crédit image,New,Age,cardFilter1Tri,cardFilter2Tri,cardFilter3Tri,cardFilter5Display,cardSection5Text,cardSection6Text,URL,Image_URL,File exists
49,50,Sophie Lamparter,"Cofondatrice de Dart 17, San Francisco",f-creatives,Creatives,img/2018/Sophie_Lamparter_Portrait.jpg,,DR?,New,41 ans,f-plus-40,expat,f-femme,Recherche,(liens Le Temps),https://www.linkedin.com/in/sophielamparter,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=sophie-lamparter,Sophie_Lamparter_Portrait.jpg,yes
50,51,Moritz Lechner,"Fondateur et coprésident du conseil d’administration de Sensirion, Stäfa (ZH)",f-corporates,Corporates,img/2018/Moritz_Lechner_Portrait.jpg,,DR?,,49 ans,f-plus-40,f-alemanique,f-homme,Développement durable,(liens Le Temps),https://at.linkedin.com/in/moritz-lechner-542543160,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=moritz-lechner,Moritz_Lechner_Portrait.jpg,yes
51,52,Adrian Locher,"Fondateur DeinDeal, cofondateur Merantix, Berlin et Zurich",f-serial-entrepreneurs,Serial Entrepreneurs,img/2018/Adrian_Locher_Portrait.jpg,,DR?,,36 ans,f-moins-40,f-alemanique,f-homme,Recherche,(liens Le Temps),https://de.linkedin.com/in/adrianlocher,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=adrian-locher,Adrian_Locher_Portrait.jpg,yes
52,53,Ariel Lüdi,"Fondateur de Hammer Team, Cham (ZG)",f-investors,Investors,img/2018/Ariel_Ludi_Portrait.jpg,,© Martin Vogel ,,59 ans,f-plus-40,f-alemanique,f-homme,Finance,(liens Le Temps),https://ch.linkedin.com/in/arielluedi,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=ariel-ludi,Ariel_Ludi_Portrait.jpg,yes
53,54,Christophe Maire,"Fondateur et CEO d’Atlantic Labs, Berlin",f-expats,Expats,img/2018/Christophe_Maire_Portrait.jpg,,© A. Chudowski/WirtschaftsWoche,,52 ans,f-plus-40,expat,f-homme,Finance,(liens Le Temps),https://www.linkedin.com/in/christophe-maire-9073196/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=christophe-maire,Christophe_Maire_Portrait.jpg,yes
54,55,David Marcus,"Vice-président Blockchain, Facebook, Menlo Park (Californie)",f-corporates,Corporates,img/2018/David_Marcus_Portrait.jpg,,© David Paul Morris,,45 ans,f-plus-40,expat,f-homme,Blockchain,(liens Le Temps),https://www.linkedin.com/in/dmarcus/fr,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=david-marcus,David_Marcus_Portrait.jpg,yes
55,56,Marta Martinez-Camara,"Cofondatrice et CEO de Girlscoding.org, Lausanne",f-do-gooders,Do-Gooders,img/2018/Marta_Martinez_Camara_Portrait.jpg,,DR?,New,32 ans,f-moins-40,f-romand,f-femme,Recherche,(liens Le Temps),https://ch.linkedin.com/in/marta-martinez-camara-84284bb4,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=marta-martinez-camara,Marta_Martinez_Camara_Portrait.jpg,yes
56,57,Pierre Maudet,"Président du gouvernement genevois, Genève",f-enabler,Enabler,img/2018/Pierre_Maudet_Portrait.jpg,,DR?,New,40 ans,f-plus-40,f-romand,f-homme,???,(liens Le Temps),https://ch.linkedin.com/in/pierremaudet,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=pierre-maudet-,Pierre_Maudet_Portrait.jpg,yes
57,58,Lorenz Meier,"Fondateur PX4, Zurich",f-tech-leaders,Tech Leaders,img/2018/Lorenz_Meier_Portrait.jpg,,© Oliver Bartenschlager,New,34 ans,f-moins-40,f-alemanique,f-homme,robotique-drone?,(liens Le Temps),https://ch.linkedin.com/in/meierlorenz,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=lorenz-meier,Lorenz_Meier_Portrait.jpg,yes
58,59,Jordi Montserrat,"Directeur de Venturelab, Lausanne",f-enabler,Enabler,img/2018/Jordi_Montserrat_Portrait.jpg,,© Michael Kretz,,48 ans,f-plus-40,f-romand,f-homme,Finance,(liens Le Temps),https://www.linkedin.com/in/jordimontserrat/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=jordi-montserrat,Jordi_Montserrat_Portrait.jpg,yes
59,60,Monique Morrow,"Cofondatrice et présidente de The Humanized Internet, Zurich",f-do-gooders,Do-Gooders,img/2018/Monique_Morrow_Portrait.jpg,,DR?,New,61 ans,f-plus-40,f-alemanique,f-femme,Blockchain?,(liens Le Temps),https://www.linkedin.com/in/moniquejeannemorrow/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=monique-morrow,Monique_Morrow_Portrait.jpg,yes
60,61,Michael Nilles,"Chief Digital Officer (CDO) de Schindler, Ebikon",f-corporates,Corporates,img/2018/Michael_Nilles_Portrait.jpg,,DR?,New,45 ans,f-plus-40,f-alemanique,f-homme,Services informatiques,(liens Le Temps),https://www.linkedin.com/in/michaelnilles/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=michael-nilles,Michael_Nilles_Portrait.jpg,yes
61,62,David Nüscheler,"Vice-président Enterprise Technology Adobe, Salt Lake City, Utah",f-expats,Expats,img/2018/David_Nuscheler_Portrait.jpg,,DR?,New,43 ans,f-plus-40,expat,f-homme,Services informatiques,(liens Le Temps),https://www.linkedin.com/in/davidnuescheler/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=david-nuscheler,David_Nuscheler_Portrait.jpg,yes
62,63,Claudia Pletscher,"Responsable du développement et de l’innovation de La Poste Suisse, Berne",f-corporates,Corporates,img/2018/Claudia_Pletscher_Portrait.jpg,,© Fu-Photo,New,44 ans,f-plus-40,f-alemanique,f-femme,Négoce,(liens Le Temps),https://www.linkedin.com/in/claudia-pletscher-800a8a/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=claudia-pletscher,Claudia_Pletscher_Portrait.jpg,yes
63,64,Georg Polzer,"Cofondateur et président de Teralytics, Zurich",f-unicorn-raisers,Unicorn raisers,img/2018/Georg_Polzer_Portrait.jpg,,DR?,,30 ans,f-moins-40,f-alemanique,f-homme,Recherche,(liens Le Temps),https://www.linkedin.com/in/georgpolzer/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=georg-polzer,Georg_Polzer_Portrait.jpg,yes
64,65,Tobias Reichmuth,"CEO et fondateur de SUSI Partners SA, Zurich",f-serial-entrepreneurs,Serial Entrepreneurs,img/2018/Tobias_Reichmuth_Portrait.jpg,,DR?,New,39 ans,f-moins-40,f-alemanique,f-homme,Développement durable,(liens Le Temps),https://www.linkedin.com/in/tobiasreichmuth/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=tobias-reichmuth,Tobias_Reichmuth_Portrait.jpg,yes
65,66,Sylvie Reinhard,"VR Republik.ch, fondatrice de crstl.io, Zurich ",f-enabler,Enabler,img/2018/Sylvie_Reinhard_Portrait.jpg,,DR?,New,37 ans,f-moins-40,f-alemanique,f-femme,Finance,(liens Le Temps),https://www.linkedin.com/in/sylviereinhard/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=sylvie-reinhard,Sylvie_Reinhard_Portrait.jpg,yes
66,67,Max Rheiner,"Fondateur et Head Master Interaction Design, Somniacs SA, Zurich",f-creatives,Creatives,img/2018/Max_Rheiner_Portrait.jpg,,DR?,New,46 ans,f-plus-40,f-alemanique,f-homme,Recherche,(liens Le Temps),(profil linkedin),https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=max-rheiner,Max_Rheiner_Portrait.jpg,yes
67,68,Gregoire Ribordy,"Fondateur, CEO et vice-président d’ID Quantique, Genève",f-tech-leaders,Tech Leaders,img/2018/Gregoire_Ribordy_Portrait.jpg,,DR?,New,47 ans,f-plus-40,f-romand,f-homme,Services informatiques,(liens Le Temps),https://www.linkedin.com/in/grégoire-ribordy-25485810/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=gregoire-ribordy,Grégoire_Ribordy_Portrait.jpg,yes
68,69,Eva Richterich,"CEO de Ricolab, Zurich",f-corporates,Corporates,img/2018/Eva_Richterich_Portrait.jpg,,© Sandra Blaser ,New,45 ans,f-plus-40,f-alemanique,f-femme,Développement durable,(liens Le Temps),https://www.linkedin.com/in/eva-richterich-5b008845/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=eva-richterich,Eva_Richterich_Portrait.jpg,yes
69,70,Neil Rimer,"Cofondateur d’Index Ventures, Genève, Londres et San Francisco",f-investors,Investors,img/2018/Neil_Rimer_Portrait.jpg,,© Corbis via Getty Images,,54 ans,f-plus-40,f-romand,f-homme,Finance,(liens Le Temps),https://www.linkedin.com/in/neilrimer/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=neil-rimer,Neil_Rimer_Portrait.jpg,yes
70,71,Pipilotti Rist,"Artiste, Zurich",f-creatives,Creatives,img/2018/Pipilotti_Rist_Portrait.jpg,,DR?,,56 ans,f-plus-40,f-alemanique,f-homme,Art,(liens Le Temps),https://www.linkedin.com/in/pipilotti-rist-b6757788/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=pipilotti-rist,Pipilotti_Rist_Portrait.jpg,yes
71,72,Anita Roth,"Cheffe de la division Policy Data Science chez Airbnb, San Francisco",f-expats,Expats,img/2018/Anita_Roth_Portrait.jpg,,DR?,New,37 ans,f-moins-40,expat,f-femme,Services informatiques,(liens Le Temps),https://www.linkedin.com/in/anita-roth-3864878/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=anita-roth,Anita_Roth_Portrait.jpg,yes
72,73,Valentina S. Velandia,"Cofondatrice de Capacity Zurich, Zurich",f-do-gooders,Do-Gooders,img/2018/Valentina_S_Velandia_Portrait.jpg,,DR?,New,31 ans,f-moins-40,f-alemanique,f-femme,Finance,(liens Le Temps),https://ch.linkedin.com/in/valentinasvelandia,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=valentina-s,Valentina_S_Velandia_Portrait.jpg,yes
73,74,Marcel Salathé,"Laboratoire d’épidémiologie digitale, EPF Lausanne",f-researchers,Researchers,img/2018/Marcel_Salathe_Portrait.jpg,,DR?,New,42 ans,f-plus-40,f-romand,f-homme,Recherche,(liens Le Temps),https://www.linkedin.com/in/salathe/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=marcel-salathe,Marcel_Salathé_Portrait.jpg,yes
74,75,Toni Schneider,"Partenaire de True Ventures, San Francisco",f-expats,Expats,img/2018/Toni_Schneider_Portrait.jpg,,© Frederic Neema/Laif,New,48 ans,f-plus-40,expat,f-homme,Services informatiques,(liens Le Temps),https://www.linkedin.com/in/toni-schneider-b1534333/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=toni-schneider,Toni_Schneider_Portrait.jpg,yes
75,76,Philomena Schwab,"Fondatrice du Game Studio Stray Fawn, Zurich",f-unicorn-raisers,Unicorn raisers,img/2018/Philomena_Schwab_Portrait.jpg,,DR?,,28 ans,f-moins-40,f-alemanique,f-femme,Services informatiques,(liens Le Temps),https://www.linkedin.com/in/philomena-schwab-56239848/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=philomena-schwab,Philomena_Schwab_Portrait.jpg,yes
76,77,Florian Schweitzer,"Partenaire de Btov Partners, Saint-Gall",f-investors,Investors,img/2018/Florian_Schweitzer_Portrait.jpg,,DR?,,44 ans,f-plus-40,f-alemanique,f-homme,Finance,(liens Le Temps),https://www.linkedin.com/in/florianschweitzer/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=florian-schweitzer,Florian_Schweitzer_Portrait.jpg,yes
77,78,Dorian Selz,"Fondateur de Namics, Memonic, Squirro",f-serial-entrepreneurs,Serial Entrepreneurs,img/2018/Dorian_Selz_Portrait.jpg,,© Samuel Trümpy,,47 ans,f-plus-40,f-alemanique,f-homme,Finance,(liens Le Temps),https://www.linkedin.com/in/dselz/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=dorian-selz,Dorian_Selz_Portrait.jpg,yes
78,79,Michael Sidler,"Cofondateur associé de Redalpine, Zurich",f-investors,Investors,img/2018/Michael_Sidler_Portrait.jpg,,© Alex Buschor,,50 ans,f-plus-40,f-alemanique,f-homme,Finance,(liens Le Temps),https://www.linkedin.com/in/sidler/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=michael-sidler,Michael_Sidler_Portrait.jpg,yes
79,80,Roland Siegwart,"Laboratoire de systèmes autonomes, EPF Zurich",f-researchers,Researchers,img/2018/Roland_Siegwart_Portrait.jpg,,© Oliver Nanzig,,59 ans,f-plus-40,f-alemanique,f-homme,Recherche,(liens Le Temps),https://www.linkedin.com/in/roland-siegwart-85466912/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=roland-siegwart,Roland_Siegwart_Portrait.jpg,yes
80,81,Christian Simm,Fondateur de Swissnex San Francisco et CEO de Swissnex Boston,f-expats,Expats,img/2018/Christian_Simm_Portrait.jpg,,DR?,New,59 ans,f-plus-40,expat,f-homme,Recherche,(liens Le Temps),https://www.linkedin.com/in/christiansimm/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=christian-simm,Christian_Simm_Portrait.jpg,yes
81,82,Philipp Stauffer,"Cofondateur et directeur associé de Fyrfly Venture Partners, Silicon Valley",f-investors,Investors,img/2018/Philippe_Stauffer_Portrait.jpg,,© Anja Wurm,New,47 ans,f-plus-40,f-alemanique,f-homme,Services informatiques,(liens Le Temps),https://www.linkedin.com/in/philippstauffer/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=philipp-stauffer,Philippe_Stauffer_Portrait.jpg,yes
82,83,Amir Suissa,"Fondateur de Wefox, Zurich",f-serial-entrepreneurs,Serial Entrepreneurs,img/2018/Amir_Suissa_Portrait.jpg,,DR?,,46 ans,f-plus-40,f-alemanique,f-homme,Finance,(liens Le Temps),https://www.linkedin.com/in/amirsuissa/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=amir-suissa,Amir_Suissa_Portrait.jpg,yes
83,84,Tej Tadi,"Fondateur et CEO de MindMaze, Lausanne",f-unicorn-raisers,Unicorn raisers,img/2018/TeJ_Tadi_Portrait.jpg,,DR?,,37 ans,f-moins-40,f-romand,f-homme,Santé,(liens Le Temps),https://www.linkedin.com/in/tejtadi/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=tej-tadi,TeJ_Tadi_Portrait.jpg,yes
84,85,Estefania Tapias,"Chair of Information Architecture, EPF Zurich",f-researchers,Researchers,img/2018/Estefania_Tapias_Portrait.jpg,,DR?,New,30 ans,f-moins-40,f-alemanique,f-femme,Recherche,(liens Le Temps),https://www.linkedin.com/in/estefaniatapias/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=estefania-tapias,Estefania_Tapias_Portrait.jpg,yes
85,86,Dominik Tarolli,"Fondateur Procedural, directeur Esri, Redlands (Californie)",f-tech-leaders,Tech Leaders,img/2018/Dominik_Tarolli_Portrait.jpg,,DR?,New,44 ans,f-plus-40,f-alemanique,f-homme,Finance,(liens Le Temps),https://www.linkedin.com/in/dominiktarolli/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=dominik-tarolli,Dominik_Tarolli_Portrait.jpg,yes
86,87,Patrick Thévoz,"Cofondateur et CEO de Flyability, Lausanne",f-unicorn-raisers,Unicorn raisers,img/2018/Patrick_Thevoz_Portrait.jpg,,© Tina Sturzenegger,New,32 ans,f-moins-40,f-romand,f-homme,Négoce (drone),(liens Le Temps),https://www.linkedin.com/in/pthevoz/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=patrick-thevoz,Patrick_Thévoz_Portrait.jpg,yes
87,88,Yann Tissot,"Cofondateur et CEO L.E.S.S., Renens",f-unicorn-raisers,Unicorn raisers,img/2018/Yann_Tissot_Portrait.jpg,,DR?,New,39 ans,f-moins-40,f-romand,f-homme,Marketing?,(liens Le Temps),https://www.linkedin.com/in/yann-tissot-8846251/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=yann-tissot,Yann_Tissot_Portrait.jpg,yes
88,89,Sandra Tobler,"Cofondatrice et CEO de Futurae Technologies, Zurich",f-tech-leaders,Tech Leaders,img/2018/Sandra_Tobler_Portrait.jpg,,© David Wagnières/Le Temps,New,39 ans,f-moins-40,f-alemanique,f-femme,Services informatiques,(liens Le Temps),https://www.linkedin.com/in/toblersa/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=sandra-tobler,Sandra_Tobler_Portrait.jpg,yes
89,90,Grace Torrellas,"Evangéliste de la blockchain, Lausanne",f-do-gooders,Do-Gooders,img/2018/Grace_Torrellas_Portrait.jpg,,DR?,New,???,Age introuvable sur Linkedin,f-romand,f-femme,Blockchain,(liens Le Temps),https://www.linkedin.com/in/gtorrellas/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=grace-torrellas,Grace_Torrellas_Portrait.jpg,yes
90,91,Luc Van Gool,"Computer Vision Lab, EPF Zurich",f-researchers,Researchers,img/2018/Luc_Van_Gool.jpg,,DR?,,58 ans,f-plus-40,f-alemanique,f-homme,Recherche,(liens Le Temps),https://www.linkedin.com/in/luc-van-gool-1b4a689/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=luc-van-gool,Luc_Van_Gool.jpg,yes
91,92,Pascale Vonmont,"CEO Fondation Gebert Rüf, Bâle",f-enabler,Enabler,img/2018/Pascale_Vonmont_Portrait.jpg,,© Salvatore Vinci,,51 ans,f-plus-40,f-alemanique,f-femme,Recherche,(liens Le Temps),https://www.linkedin.com/in/pascalevonmont/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=pascale-vonmont,Pascale_Vonmont_Portrait.jpg,yes
92,93,Jean-Pierre Vuilleumier,"Directeur général de la start-up Invest, Berne",f-enabler,Enabler,img/2018/Jean_Pierre_Vuilleumier_Portrait.jpg,,DR?,,59 ans,f-plus-40,f-alemanique,f-homme,Finance,(liens Le Temps),https://www.linkedin.com/in/jvuilleumier/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=jean-pierre-vuilleumier,Jean_Pierre_Vuilleumier_Portrait.jpg,yes
93,94,Steffen Wagner,"Cofondateur et co-PDG d’Investiere, Verve Capital Partners, Baar (ZG)",f-investors,Investors,img/2018/Steffen_Wagner_Portrait.jpg,,DR?,New,44 ans,f-plus-40,f-alemanique,f-homme,Finance,(liens Le Temps),https://www.linkedin.com/in/steffen-wagner-3229b920/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=steffen-wagner,Steffen_Wagner_Portrait.jpg,yes
94,95,Cédric Waldburger,"Cofondateur de Tenderloin Ventures, Zoug",f-serial-entrepreneurs,Serial Entrepreneurs,img/2018/Cedric_Waldburger_Portrait.jpg,,© Désirée Good|Le Temps,New,30 ans,f-moins-40,f-alemanique,f-homme,Blockchain,(liens Le Temps),https://www.linkedin.com/in/cedricwaldburger/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=cedric-waldburger,Cedric_Waldburger_Portrait.jpg,yes
95,96,Patrick Warnking,"Directeur de Google Suisse, Zurich",f-corporates,Corporates,img/2018/Patrick_Warnking_Portrait.jpg,,© Karl-Heinz Hug,,50 ans,f-plus-40,f-alemanique,f-homme,Services informatiques,(liens Le Temps),https://www.linkedin.com/in/warnking/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=patrick-warnking,Patrick_Warnking_Portrait.jpg,yes
96,97,Basil Weibel,"Cofondateur et CEO Wingtra, Zurich",f-unicorn-raisers,Unicorn raisers,img/2018/Basil_Weibel_Portrait.jpg,,© Michèle Limina,New,30 ans,f-moins-40,f-alemanique,f-homme,Drones?,(liens Le Temps),https://www.linkedin.com/in/basil-weibel-a3146a1b/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=basil-weibel,Basil_Weibel_Portrait.jpg,yes
97,98,Christian Wenger,"Touche-à-tout, Zurich",f-enabler,Enabler,img/2018/Christian_Wenger_Portrait.jpg,,DR?,,54 ans,f-plus-40,f-alemanique,f-homme,????,(liens Le Temps),https://www.linkedin.com/in/christian-wenger-07260bbb/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=christian-wenger,Christian_Wenger_Portrait.jpg,yes
98,99,Roland Zeller,"Directeur et propriétaire d’Innuvik Ventures, Bottighofen (TG)",f-investors,Investors,img/2018/Roland_Zeller_Portrait.jpg,,DR?,New,48 ans,f-plus-40,f-alemanique,f-homme,Finance,(liens Le Temps),https://www.linkedin.com/in/rolizeller/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=roland-zeller,Roland_Zeller_Portrait.jpg,yes
99,100,Claude Zellweger,"Directeur du design Daydream chez Google, Mountain View (Californie)",f-expats,Expats,img/2018/Claude_Zellweger_Portrait.jpg,,© Tanja Demarmels,,46 ans,f-plus-40,"expat
",f-homme,Services informatiques,(liens Le Temps),https://www.linkedin.com/in/claude-zellweger-a519001/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=claude-zellweger,Claude_Zellweger_Portrait.jpg,yes
100,101,Lea von Bidder,"Cofondatrice d’Ava, San Francisco",f-expats,Expats,img/2018/Lea_Von_Bidder_Portrait.jpg,,© René Ruis,New,28 ans,f-moins-40,"expat
",f-femme,Santé,"(liens Le Temps) «Il s’est passé tellement de choses», dit Lea von Bidder. Pas étonnant, car la société Ava, qu’elle a contribué à fonder il y a quatre ans, est l’une des jeunes entreprises les plus prometteuses de Su",https://www.linkedin.com/in/lea-von-bidder/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=lea-von-bidder,Lea_Von_Bidder_Portrait.jpg,yes
